student_id,age,gender,county,year_of_study,hours_study_week,income_kes,internet_access,device,malaria_prevention_score
S001,20,F,Nakuru,2,12,8000,yes,laptop,7
S002,22,M,Kisumu,3,15,12000,yes,phone,5
S003,19,F,Mombasa,1,8,5000,no,phone,6
S004,21,M,Nairobi,2,18,15000,yes,laptop,8
S005,23,F,Eldoret,4,10,9000,yes,phone,4
S006,20,M,Nakuru,1,6,4000,no,none,3
S007,22,F,Kisumu,3,14,11000,yes,laptop,7
S008,18,M,Nairobi,1,9,6000,yes,phone,5
S009,24,F,Mombasa,4,16,14000,yes,laptop,9
S010,21,M,Eldoret,2,11,7000,no,phone,4
S011,20,F,Nakuru,2,13,8500,yes,phone,6
S012,22,M,Kisumu,3,7,5500,no,none,3
S013,19,F,Nairobi,1,12,9000,yes,phone,7
S014,23,M,Mombasa,4,17,16000,yes,laptop,8
S015,21,F,Eldoret,2,10,6500,yes,phone,5
S016,20,M,Nakuru,1,8,4500,no,phone,4
S017,22,F,Kisumu,3,15,10000,yes,laptop,7
S018,24,M,Nairobi,4,19,18000,yes,laptop,9
S019,18,F,Mombasa,1,5,3000,no,none,2
S020,21,M,Eldoret,2,11,7500,yes,phone,6
S021,20,F,Nakuru,2,14,9500,yes,phone,7
S022,23,M,Kisumu,4,12,11000,yes,laptop,6
S023,22,F,Nairobi,3,16,13000,yes,laptop,8
S024,19,M,Mombasa,1,9,5000,no,phone,4
S025,21,F,Eldoret,2,13,8000,yes,phone,6
